"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"tvxd06","38511","1","Shizuku Ichijo","Alice & Zouroku","2","Sun, 19 Jun 2022 20:01:41 GMT","1655668901281","4","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"tvxmd9","38195","1","Budou Umino","Business Fish","2","Sun, 19 Jun 2022 18:04:44 GMT","1655661884223","1","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"tvdbgh","38299","1","Atsushi Miyagawa","Recorder and Randsell","2","Sun, 19 Jun 2022 17:32:54 GMT","1655659974973","2","","","","No","No","","","1","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"tvp62f","38078","1","Kuranosuke","Kabaneri of the Iron Fortress","0","Sun, 19 Jun 2022 11:46:07 GMT","1655639167628","1","","","","No","No","burn","","1","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"tm6pcf","31281","1","Ophelia","Servamp","2","Sat, 18 Jun 2022 21:25:31 GMT","1655587531109","8","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","A","F","D","",""
"tm88ml","13361","2","Archer","Fate/stay night","3","Sat, 18 Jun 2022 16:44:08 GMT","1655570648324","154","","","","No","No","ft","","186","0","3","385849280939950080","385849280939950080","386931476291256332","84","F","S","S","S","A","F","D","",""
"tmn9zf","37989","1","Princess Sheila","Bastard!!","1","Sat, 18 Jun 2022 06:59:14 GMT","1655535554056","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"tmmpx6","37724","1","Himea Saito","A Dark Rabbit Has Seven Lives","1","Fri, 17 Jun 2022 22:51:46 GMT","1655506306879","5","","","","No","No","burn","","3","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"tmm7x9","20923","2","Sasha Necron","Maou Gakuin no Futekigousha","2","Fri, 17 Jun 2022 21:51:40 GMT","1655502700991","60","","","","No","No","ft","","78","0","2","","385849280939950080","386931476291256332","30","F","S","S","F","A","F","D","",""
"8c6vlc","38305","1","Butter","My Girlfriend is Shobitch","3","Fri, 17 Jun 2022 21:17:25 GMT","1655500645458","10","","","","No","No","burn","","1","0","3","385849280939950080","385849280939950080","386931476291256332","5","F","S","S","S","B","F","D","",""
"8cskpn","38175","1","Tatsuhiro Someya","Terra Formars: Revenge","2","Fri, 17 Jun 2022 19:59:11 GMT","1655495951667","2","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"8cz1kk","38122","1","Minami Kurihashi","Gokujo. Gokurakuin Joshikou Ryou Monogatari","2","Fri, 17 Jun 2022 11:34:10 GMT","1655465650040","6","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","A","F","D","",""
"8c1mmv","38085","1","Makiko Maki","Between the Sky and Sea","1","Fri, 17 Jun 2022 10:20:46 GMT","1655461246243","2","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"8cnnqf","38353","1","Asselin Bb Ii","The iDOLM@STER SideM","2","Fri, 17 Jun 2022 08:54:03 GMT","1655456043526","7","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","A","F","D","",""
"8c530c","31719","1","Itsuki Miwa","Haitoku no Kyoukai","2","Fri, 17 Jun 2022 06:28:13 GMT","1655447293377","8","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","B","F","D","",""
"8dv4bh","38149","1","Jeanne d'Arc","Grimms Notes the Animation","1","Thu, 16 Jun 2022 22:44:28 GMT","1655419468345","5","","","","No","No","darc","","1","0","1","","236182912716767232","386931476291256332","1","F","S","F","F","F","F","D","",""
"86skrf","38234","1","Professor Burnet","Pokémon Sun & Moon","3","Thu, 16 Jun 2022 21:19:26 GMT","1655414366467","23","","","","No","No","nice","","3","0","3","385849280939950080","385849280939950080","386931476291256332","14","F","S","S","S","A","F","D","",""
"867mkw","31867","1","Monk Disciple 1","Yashahime: Princess Half-Demon","1","Thu, 16 Jun 2022 19:26:07 GMT","1655407567685","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"86tkvl","5541","3","Frey","Mother of the Goddess' Dormitory","3","Thu, 16 Jun 2022 18:30:45 GMT","1655404245142","133","","","","No","No","oppai","","76","0","3","385849280939950080","385849280939950080","386931476291256332","71","F","S","S","S","A","F","D","",""
"868jn8","38172","1","Effie","Astarotte's Toy","2","Thu, 16 Jun 2022 17:56:48 GMT","1655402208292","5","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"86fdzz","38044","1","Ebizou","Zetman","1","Thu, 16 Jun 2022 16:40:40 GMT","1655397640714","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","B","F","D","",""
"869zwp","9793","3","Nerori","Animal Theratopia","2","Thu, 16 Jun 2022 15:46:12 GMT","1655394372585","34","","","","No","No","burn","","5","0","2","385849280939950080","385849280939950080","386931476291256332","20","F","S","S","S","A","F","D","",""
"863bkl","37965","1","Mozuku Isono","Business Fish","0","Thu, 16 Jun 2022 14:25:05 GMT","1655389505282","1","","","","No","No","burn","","0","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"864kq5","37810","1","Bolta","Tales of Zestiria: The X - Age of Chaos","0","Thu, 16 Jun 2022 13:23:12 GMT","1655385792584","1","","","","No","No","burn","","0","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"861lqz","38072","1","Jun'ichi Nagase","Akane-Iro ni Somaru Saka","1","Thu, 16 Jun 2022 11:21:35 GMT","1655378495934","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"86nrr2","38208","1","Makigami","We Never Learn!","2","Thu, 16 Jun 2022 10:24:59 GMT","1655375099496","5","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"86jj7d","38073","1","Nanae Kokonoe","In Another World with My Smartphone","1","Thu, 16 Jun 2022 09:05:11 GMT","1655370311651","4","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"8xck41","12837","2","Kei Kawade","Marvel Future Avengers 2nd Season","2","Wed, 15 Jun 2022 23:51:05 GMT","1655337065945","20","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","13","F","S","S","S","A","F","D","",""
"8xdz9s","37915","1","Kagerou","Sket Dance","1","Wed, 15 Jun 2022 20:52:16 GMT","1655326336218","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"8x312v","1987","4","Kaolinite","Sailor Moon S","2","Wed, 15 Jun 2022 15:35:06 GMT","1655307306761","53","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","29","F","S","S","S","S","F","D","",""
"8xp67b","38333","1","Sam Speed","Sonic X","1","Wed, 15 Jun 2022 14:36:07 GMT","1655303767651","1","","","","No","No","burn","","1","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"8x48b6","38267","1","Elena Fujisawa","Hanebado!","1","Wed, 15 Jun 2022 13:20:13 GMT","1655299213670","3","","","","No","No","burn","","1","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"8xj3fr","37964","1","Rei Koito","Bloom Into You","3","Wed, 15 Jun 2022 12:52:55 GMT","1655297575366","19","","","","No","No","nice","","1","0","3","342726406557532172","342726406557532172","386931476291256332","10","F","S","F","F","S","F","D","",""
"8xnqcs","16341","1","Ruby Toujou","Rosario + Vampire","4","Wed, 15 Jun 2022 10:43:07 GMT","1655289787256","56","","","","No","No","burn","","9","0","4","385849280939950080","385849280939950080","386931476291256332","30","F","S","S","S","A","F","D","",""
"8xb1c0","6040","3","Dominique de Sade","The Case Study of Vanitas","3","Wed, 15 Jun 2022 09:48:31 GMT","1655286511330","163","","","","No","No","","","310","0","3","767496391081066497","767496391081066497","386931476291256332","79","F","S","F","F","S","F","D","",""
"8xjvn5","8771","3","Gugu","To Your Eternity","4","Wed, 15 Jun 2022 09:47:02 GMT","1655286422051","258","","","","No","No","piwnica","","129","0","4","","385849280939950080","386931476291256332","135","F","S","S","F","A","F","D","",""
"8x5h2w","37794","1","Momo Sakaki","Anonymous Noise","0","Wed, 15 Jun 2022 08:44:01 GMT","1655282641833","2","","","","No","No","burn","","5","0","0","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"8x5wk1","38172","1","Nana Uehara","How Heavy Are the Dumbbells You Lift?","3","Wed, 15 Jun 2022 08:06:03 GMT","1655280363441","15","","","","No","No","burn","","0","0","3","385849280939950080","385849280939950080","386931476291256332","8","F","S","S","S","B","F","D","",""
"8xqwdx","8170","2","Augusta","Granblue Fantasy","2","Wed, 15 Jun 2022 05:33:29 GMT","1655271209028","35","","","","No","No","oppai","","1","0","2","385849280939950080","385849280939950080","386931476291256332","20","F","S","S","S","A","F","D","",""
"8sxjhl","13722","2","Raphtalia","The Rising of the Shield Hero","1","Tue, 14 Jun 2022 23:58:52 GMT","1655251132291","45","","","","No","No","fav","","1267","0","1","385849280939950080","385849280939950080","386931476291256332","24","F","S","S","S","A","F","D","",""
"8sfx7m","1390","4","Carrot","One Piece","3","Tue, 14 Jun 2022 19:40:04 GMT","1655235604064","176","","","","No","No","piwnica","","120","0","3","385849280939950080","385849280939950080","386931476291256332","96","F","S","S","S","A","F","D","",""
