"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"fhlsl7","24","2","Transmit","Super Crooks","3","Thu, 07 Apr 2022 10:24:50 GMT","1649327090180","119","","","","No","No","burn","","1","0","3","385849280939950080","385849280939950080","386931476291256332","78","F","S","S","S","B","F","A","",""
"fhlsr0","33602","1","Rico","Gunslinger Girl","2","Thu, 07 Apr 2022 09:20:17 GMT","1649323217808","5","","","","No","No","burn","","4","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","B","F","D","",""
"fh3pt7","15876","1","Arachne Gorgon","Soul Eater","0","Thu, 07 Apr 2022 08:47:24 GMT","1649321244687","6","","","","No","No","fav","","13","0","0","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","A","F","D","",""
"fh3p9v","1743","1","Yoko","Taisho Otome Fairy Tale","3","Thu, 07 Apr 2022 07:36:28 GMT","1649316988498","20","","","","No","No","burn","","0","0","3","385849280939950080","385849280939950080","386931476291256332","13","F","S","S","S","A","F","D","",""
"fh3ppc","13840","2","Naoka Ueno","A Silent Voice","1","Thu, 07 Apr 2022 06:53:58 GMT","1649314438636","30","","","","No","No","","","36","0","1","385849280939950080","385849280939950080","386931476291256332","18","F","S","S","S","A","F","D","",""
"fh3p1v","33566","1","Tamamura","Nichijou - My Ordinary Life","1","Thu, 07 Apr 2022 06:02:29 GMT","1649311349845","3","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","C","F","D","",""
"fh2gfj","33635","1","Tsugumi Aozora","Asobi Asobase","2","Wed, 06 Apr 2022 23:22:04 GMT","1649287324509","8","","","","No","No","watchlist","","1","0","2","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","S","F","D","",""
"fhv6j7","7311","3","Hirotaka Nifuji","Wotakoi: Love is Hard for Otaku","2","Wed, 06 Apr 2022 20:49:48 GMT","1649278188991","70","","","","No","No","","","266","0","2","","385849280939950080","386931476291256332","36","F","S","S","F","B","F","D","",""
"fhv65q","33700","1","Yukari Morimura","Shingu: Secret of the Stellar Wars","2","Wed, 06 Apr 2022 20:22:39 GMT","1649276559034","2","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","F","F","D","",""
"fq6kxl","31903","1","Marika","Shachou, Battle no Jikan Desu!","4","Wed, 06 Apr 2022 19:49:22 GMT","1649274562486","27","","","","No","No","burn","","1","0","4","385849280939950080","385849280939950080","386931476291256332","15","F","S","S","S","B","F","D","",""
"fq6k7f","25428","1","Dark Garnex the Cubic Beast","Yu-Gi-Oh!: The Dark Side of Dimensions","1","Wed, 06 Apr 2022 19:19:15 GMT","1649272755794","3","","","","No","No","burn","","1","0","1","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","B","F","D","",""
"fq6kfg","33652","1","Yawh","Utawarerumono","3","Wed, 06 Apr 2022 18:40:41 GMT","1649270441956","1","","","","No","No","burn","","0","0","3","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","F","F","D","",""
"fq6kgs","33408","1","Boarrior","Ni no Kuni: Wrath of the White Witch","2","Wed, 06 Apr 2022 18:25:13 GMT","1649269513131","2","","","","No","No","burn","","0","0","2","236184987299217408","385849280939950080","386931476291256332","1","F","S","S","F","F","F","D","",""
"fq7d8j","33750","1","Salima","Beyblade: V-Force","3","Wed, 06 Apr 2022 17:54:09 GMT","1649267649514","6","","","","No","No","","","1","0","3","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","C","F","D","",""
"fq7dzk","33642","1","Takaaki Katagiri","World Trigger","1","Wed, 06 Apr 2022 16:34:28 GMT","1649262868610","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","C","F","D","",""
"fql07v","33581","1","Yuka Kamitsuki","Kemonozume","1","Wed, 06 Apr 2022 15:50:32 GMT","1649260232820","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","S","F","D","",""
"fq3zxn","17040","2","Asahi Shiina","Free! Dive to the Future","2","Wed, 06 Apr 2022 13:51:38 GMT","1649253098154","30","","","","No","No","burn","","4","0","2","385849280939950080","385849280939950080","386931476291256332","18","F","S","S","S","A","F","D","",""
"fqzt6j","9341","1","Keiji Kumada","Skate-Leading Stars","3","Wed, 06 Apr 2022 10:49:12 GMT","1649242152328","5","","","","No","No","burn","","0","0","3","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"fqb6w0","33479","1","Margot","The Sacred Blacksmith","2","Wed, 06 Apr 2022 09:37:38 GMT","1649237858753","3","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"fqb6v4","33262","1","Sai","Yume Oukoku to Nemureru 100 Nin no Ouji-sama: Short Stories","3","Wed, 06 Apr 2022 08:40:57 GMT","1649234457184","7","","","","No","No","","","0","0","3","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","A","F","D","",""
"fq27fp","33246","1","Doctor Fujiyuki","Elegant Youkai Apartment Life","2","Wed, 06 Apr 2022 06:56:44 GMT","1649228204837","2","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"fq27bv","33636","1","Daikichi Kanai","GeGeGe no Kitarou (2018)","1","Wed, 06 Apr 2022 04:28:32 GMT","1649219312368","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","B","F","D","",""
"f07kjz","1063","2","Bonnivier Pranaja","Nijisanji ID","1","Tue, 05 Apr 2022 22:21:32 GMT","1649197292114","22","","","","No","No","nice","","7","0","1","385849280939950080","385849280939950080","386931476291256332","14","F","S","S","S","A","F","D","",""
"f0fk67","33551","1","Lemik","Drifters Specials","2","Tue, 05 Apr 2022 20:53:47 GMT","1649192027641","1","","","","No","No","burn","","0","0","2","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","F","F","D","",""
"f0fkt5","17348","2","Flegel","Legend of the Galactic Heroes","2","Tue, 05 Apr 2022 20:00:15 GMT","1649188815363","14","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","8","F","S","S","S","A","F","D","",""
"f0r9c9","13249","2","Ran Mouri","Detective Conan","1","Tue, 05 Apr 2022 18:56:38 GMT","1649184998015","21","","","","No","No","burn","","61","0","1","385849280939950080","385849280939950080","386931476291256332","13","F","S","S","S","A","F","D","",""
"f0r9dp","33444","1","Souma Akizuki","Shining Tears X Wind","3","Tue, 05 Apr 2022 18:18:20 GMT","1649182700590","7","","","","No","No","burn","","1","0","3","385849280939950080","385849280939950080","386931476291256332","4","F","S","S","S","C","F","D","",""
