series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
40571,Majo no Tabitabi,TV,12,0,12,0000-00-00,2021-04-14,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
10620,Mirai Nikki (TV),TV,26,0,26,0000-00-00,2021-04-14,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36936,Mirai no Mirai,Movie,1,0,1,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,TV,11,0,11,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50360,Mushoku Tensei: Isekai Ittara Honki Dasu Special,Special,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
41168,Nakitai Watashi wa Neko wo Kaburu,Movie,1,0,1,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
4081,Natsume Yuujinchou,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
30,Neon Genesis Evangelion,TV,26,0,18,2021-06-19,0000-00-00,,6,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
34392,One Room,TV,12,0,12,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
12355,Ookami Kodomo no Ame to Yuki,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
2966,Ookami to Koushinryou,TV,13,0,13,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
24211,Orenchi no Furo Jijou,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
35484,Osake wa Fuufu ni Natte kara,TV,13,0,13,2021-07-09,2021-07-09,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37826,Osake wa Fuufu ni Natte kara: Yuzu Atsukan,ONA,1,0,1,0000-00-00,2021-07-09,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42627,Peach Boy Riverside,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
48406,Re-Main,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34561,Re:Creators,TV,22,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
30015,ReLIFE,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38992,Rikei ga Koi ni Ochita no de Shoumei shitemita.,TV,12,0,10,0000-00-00,2021-04-14,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
43470,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
44807,Ryuu to Sobakasu no Hime,Movie,1,0,1,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42826,Seijo no Maryoku wa Bannou Desu,TV,12,0,12,2021-04-14,2021-06-30,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
51215,Seijo no Maryoku wa Bannou Desu 2nd Season,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,0,13,0000-00-00,2021-04-14,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,0,1,0000-00-00,2021-04-14,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
47790,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",TV,12,0,12,0000-00-00,0000-00-00,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38787,Senryuu Shoujo,TV,12,0,12,0000-00-00,0000-00-00,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
43439,Shadows House,TV,13,0,13,2021-04-14,2021-06-28,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49782,Shadows House 2nd Season,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
47161,Shikkakumon no Saikyou Kenja,TV,12,0,12,0000-00-00,0000-00-00,,4,,0.00,Completed,,0,,LOW,,0,0,1,default,0
16498,Shingeki no Kyojin,TV,25,0,25,0000-00-00,2021-04-14,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
25777,Shingeki no Kyojin Season 2,TV,12,0,12,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
35760,Shingeki no Kyojin Season 3,TV,12,0,12,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38524,Shingeki no Kyojin Season 3 Part 2,TV,10,0,10,0000-00-00,2021-04-14,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
